- Norte: CAPPI Tef&eacute; - AM | Lat: -3.372700, Lon: -64.693200 | Raio: 250km | Variáveis: Cappi do radar Tefe/AM - 3km
- Norte: VENTO Tef&eacute; - AM | Lat: -3.372700, Lon: -64.693200 | Raio: 250km | Variáveis: Vento do radar Tef&eacute;/AM - 3km
- Norte: CAPPI S&atilde;o Gabriel - AM | Lat: -0.143677, Lon: -67.057000 | Raio: 250km | Variáveis: Cappi do radar de S&atilde;o Gabriel/AM - 3km
- Norte: VENTO S&atilde;o Gabriel - AM | Lat: -0.143677, Lon: -67.057000 | Raio: 250km | Variáveis: Vento do radar de S&atilde;o Gabriel/AM - 3km
- Nordeste: CAPPI Quixeramobim - CE | Lat: N/A, Lon: N/A | Raio: N/A | Variáveis: CAPPI do radar de Quixeramobim/CE - 3km
- Nordeste: VENTO Quixeramobim - CE | Lat: N/A, Lon: N/A | Raio: N/A | Variáveis: Vento do radar de Quixeramobim/CE - 3km
- Nordeste: CAPPI Maceió - AL | Lat: N/A, Lon: N/A | Raio: N/A | Variáveis: CAPPI do radar de Maceió/AL - 3km
- Nordeste: VENTO Maceió - AL | Lat: N/A, Lon: N/A | Raio: N/A | Variáveis: Vento do radar de Maceió/AL - 3km
- Nordeste: CAPPI Natal - RN | Lat: N/A, Lon: N/A | Raio: N/A | Variáveis: Cappi do radar de Natal/RN - 3km
- Nordeste: VENTO Natal - RN | Lat: N/A, Lon: N/A | Raio: N/A | Variáveis: Vento do radar de Natal/RN - 3km
- Nordeste: CAPPI Petrolina - PE | Lat: N/A, Lon: N/A | Raio: N/A | Variáveis: Cappi do radar de Petrolina/PE - 3km
- Nordeste: VENTO Petrolina - PE | Lat: N/A, Lon: N/A | Raio: N/A | Variáveis: Vento do radar de Petrolina/PE - 3km
