  R12974613 | Echotop 35dBz | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/santatereza/echotop/echotop35dbz
  R12977393 | PPI | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/cemaden/santatereza/ppi/ppicz
  R12972190 | VIL | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/santatereza/agua_liquida/vil
  R12974614 | Waldvogel | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/santatereza/echotop/waldvogel

### Radar 5984 - Três Marias
  R12475984 | CAPPI | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/cemaden/tresmarias/cappi/cappi3km
  R12474681 | Centróides | TXT | fase=Sistema de Previsão | freq=10 min | /oper/share/radar/cemaden/tresmarias/previsao_radar/cent_sistconvectivo
  R12477242 | Chuva 24hrs | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/tresmarias/chuva/chuva24h
  R12474672 | Clusters 20 min | PNG | fase=Sistema de Previsão | freq=10 min | /oper/share/radar/cemaden/tresmarias/previsao_radar/rast_tempestade
  R12477392 | Doppler | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/tresmarias/ppi/ppivr
  R12472189 | DVIL | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/tresmarias/agua_liquida/dvil
  R12474609 | Echotop 20 dBz | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/cemaden/tresmarias/echotop/echotop20dbz
  R12474610 | Echotop 35dBz | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/tresmarias/echotop/echotop35dbz
  R12477391 | PPI | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/cemaden/tresmarias/ppi/ppicz
  R12472188 | VIL | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/tresmarias/agua_liquida/vil
  R12474611 | Waldvogel | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/cemaden/tresmarias/echotop/waldvogel

### Radar 4963 - Pico do Couto
  R12564963 | CAPPI | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/decea/picocouto/cappi/cappi3km
